,Unnamed: 0,Song,Performer,id,preview_url,availability
0,0,Poor Little Fool,Ricky Nelson,5ayybTSXNwcarDtxQKqvWX,,0
1,3,Do I Make You Proud,Taylor Hicks,2jv9Ppwz9u3lqWfXV0q2sW,https://p.scdn.co/mp3-preview/afb7f6b1facb2c2eef595c14a9873db0ec5338b7?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1
2,4,3,Britney Spears,6pymOcrCnMuCWdgGVTvUgP,https://p.scdn.co/mp3-preview/322aa5b97580a0dfd1eac51fcffb425883988ffb?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1
3,5,Born This Way,Lady Gaga,6r2BECwMgEoRb5yLfp0Hca,,0
4,6,Part Of Me,Katy Perry,1nZzRJbFvCEct3uzu04ZoL,,0
5,7,Shake It Off,Taylor Swift,5xTtaWoae3wi06K5WfVUUH,,0
6,8,Pillowtalk,Zayn,0PDUDa38GO8lMxLCRc4lL1,https://p.scdn.co/mp3-preview/61144d52a3b955f9649313fa416b397acc0b28a6?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1
7,10,Shape Of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1
8,11,"Thank U, Next",Ariana Grande,3e9HZxeyfWwjeyPAMmWSSQ,,0
9,12,7 Rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,,0
10,13,Sucker,Jonas Brothers,22vgEDb5hykfaTwLuskFGD,,0
11,15,Always Be My Baby,Mariah Carey,2aBxt229cbLDOvtL7Xbb9x,https://p.scdn.co/mp3-preview/b1e31095de6722f08830226adaeaf91d54654bc5?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1
12,16,Tha Crossroads,Bone Thugs-N-Harmony,5KSJ9k1FYjFLnIRlJT2wF8,https://p.scdn.co/mp3-preview/c034ff7ebb5dda79454f8fbe5816faef5cfc876b?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1
13,17,4 Seasons Of Loneliness,Boyz II Men,027tq4cWr0kRxLTfdxvM1L,,0
14,18,Crush,David Archuleta,4wCD0qOFNRu1Q6O3N6ycm4,https://p.scdn.co/mp3-preview/b3ed28f1f0399ac3c85cbb03ec8d0a9201523ae4?cid=8b6b3fab9bb04c17ab4aa187c5dd826b,1
15,19,Party In The U.S.A.,Miley Cyrus,5Q0Nhxo0l2bP3pNjpGJwV1,,0
